wm_load_key.keys,wm_recall_response.text,wm_practice_trials.thisRepN,wm_practice_trials.thisTrialN,wm_practice_trials.thisN,wm_practice_trials.thisIndex,wm_practice_trials.ran,participant,EXPRA code (only for EXPRA students),date,expName,psychopyVersion,OS,frameRate,wm_instruct_toggle.thisRepN,wm_instruct_toggle.thisTrialN,wm_instruct_toggle.thisN,wm_instruct_toggle.thisIndex,wm_instruct_toggle.ran,wm_load_toggle.thisRepN,wm_load_toggle.thisTrialN,wm_load_toggle.thisN,wm_load_toggle.thisIndex,wm_load_toggle.ran,play_exit.keys,play_exit.rt,ratings_slider.response,ratings_slider.rt,ratings_loop.thisRepN,ratings_loop.thisTrialN,ratings_loop.thisN,ratings_loop.thisIndex,ratings_loop.ran,questions,open_text_response.text,open_text_loop.thisRepN,open_text_loop.thisTrialN,open_text_loop.thisN,open_text_loop.thisIndex,open_text_loop.ran,confidence_resp.response,confidence_resp.rt,wm_recall_toggle.thisRepN,wm_recall_toggle.thisTrialN,wm_recall_toggle.thisN,wm_recall_toggle.thisIndex,wm_recall_toggle.ran,genre_trials.thisRepN,genre_trials.thisTrialN,genre_trials.thisN,genre_trials.thisIndex,genre_trials.ran,genre_trials.order,prime_text,auditory_stim,condition,genre,order,probe,wm_load_key.rt,eval_slider.response,eval_slider.rt,final_eval_loop.thisRepN,final_eval_loop.thisTrialN,final_eval_loop.thisN,final_eval_loop.thisIndex,final_eval_loop.ran,knew_slider.response,knew_slider.rt,genre_block.thisRepN,genre_block.thisTrialN,genre_block.thisN,genre_block.thisIndex,genre_block.ran
,RCTYBFDK,0,0,0,0,1,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,,,,,,space,179.7868,6,12.7776,0,0,0,0,1,Wie sehr gefiel Ihnen die Interpretation insgesamt? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,,,,,,,,7,8.0559,0,1,1,1,1,Wie sehr mochten Sie das Timing und den Rhythmus der Performance?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,,,,,,,,5,6.3781,0,2,2,2,1,Wie sehr gefiel Ihnen die Tonqualität der Performance? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,,,,,,,,6,3.0039,0,3,3,3,1,Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,,,,,,,,,,,,,,,"Bitte schreiben Sie alles auf, was Ihnen einfällt, um die Performance zu beschreiben. (Stimmung, Klang usw.)",,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,,,,,,,,,,,,,,,"Bitte beschreiben Sie so ausführlich wie möglich, was Ihnen an der Performance gefallen hat oder was nicht.","Mir hat die Melodie und die Stimmung der Performance sehr gut gefallen. Ich finde auch, dass der Sänger gut gesungen hat. Die Tonqualität hätte nur etwas besser sein können.",0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RCDFBTY,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7.6329,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,2,"Für diese Aufnahme sind keine Informationen verfügbar. 
Bitte warten. Die Aufnahme wird kurzzeitig abgespielt.",beatles.wav,baseline,rock,2,CMFSJBNR,,,,,,,,,,,,,,,
space,,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.489,,,,,,,,,,,,,,
,,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,,,,,,space,158.5321,6,5.2906,0,0,0,0,1,Wie sehr gefiel Ihnen die Interpretation insgesamt? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,,,,,,,,7,1.9168,0,1,1,1,1,Wie sehr mochten Sie das Timing und den Rhythmus der Performance?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,,,,,,,,5,2.4829,0,2,2,2,1,Wie sehr gefiel Ihnen die Tonqualität der Performance? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,,,,,,,,6,1.3593,0,3,3,3,1,Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,,,,,,,,,,,,,,,"Bitte schreiben Sie alles auf, was Ihnen einfällt, um die Performance zu beschreiben. (Stimmung, Klang usw.)",Wollt ihr mich veräppeln? Das war derselbe Song!!!!!!!!!!,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,,,,,,,,,,,,,,,"Bitte beschreiben Sie so ausführlich wie möglich, was Ihnen an der Performance gefallen hat oder was nicht.",Dasselbe wie beim ersten Mal,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6.1593,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,2,"Die Cockroaches haben sich als Jugendliche auf der Schule kennengelernt. Aufgrund einer gemeinsame Liebe zu den Beatles entstand die Idee eine Coverband zu gründen.
1991 trat die Band auf dem Tribute to the Beatles Konzert in Amsterdam auf und veröffentlichten im gleichen Jahr eine CD. Weitere Erfolge in ihrer Karriere als Coverband blieben jedoch aus. Auch wenn sie einige Ähnlichkeiten im Stil zu den Beatles aufweisen konnten, wurden sie in Kritiken überwiegend als amateurhaft beschrieben.
Die Band berichtete, dass ihre Jahre im Show-Business nicht einfach waren. Die berufliche Unsicherheit, fehlende Unterstützung ihrer Familien und vor allem der ausbleibende Erfolg waren psychisch sehr belastend, weswegen sie sich nach 3 Jahren einig waren, die Band aufzulösen. Heutzutage verdienen die Mitglieder der Cockroaches ihren Lebensunterhalt als Elektroniker, Koch, Bauarbeiter und Personal Trainer.

Quelle: http://www.overdose.am/bloghome/music/cockroaches-tribute-opening-show-html?",beatles.wav,low,rock,2,GYWLNPHM,,,,,,,,,,,,,,,
,,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,,,,,,space,149.4523,6,3.8185,0,0,0,0,1,Wie sehr gefiel Ihnen die Interpretation insgesamt? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,,,,,,,,7,1.3362,0,1,1,1,1,Wie sehr mochten Sie das Timing und den Rhythmus der Performance?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3898,928215,2021-12-09_15h31.17.810,rep_pres_illusion,2021.2.3,Win32,59.90893841,,,,,,,,,,,,,5,1.5827,0,2,2,2,1,Wie sehr gefiel Ihnen die Tonqualität der Performance? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
