play_exit.keys,play_exit.rt,ratings_slider.response,ratings_slider.rt,ratings_loop.thisRepN,ratings_loop.thisTrialN,ratings_loop.thisN,ratings_loop.thisIndex,ratings_loop.ran,questions,participant,EXPRA code (only for EXPRA students),date,expName,psychopyVersion,OS,frameRate,open_text_response.text,open_text_loop.thisRepN,open_text_loop.thisTrialN,open_text_loop.thisN,open_text_loop.thisIndex,open_text_loop.ran,genre_trials.thisRepN,genre_trials.thisTrialN,genre_trials.thisN,genre_trials.thisIndex,genre_trials.ran,genre_trials.order,prime_text,auditory_stim,condition,genre,order,probe,eval_slider.response,eval_slider.rt,final_eval_loop.thisRepN,final_eval_loop.thisTrialN,final_eval_loop.thisN,final_eval_loop.thisIndex,final_eval_loop.ran,knew_slider.response,knew_slider.rt,genre_block.thisRepN,genre_block.thisTrialN,genre_block.thisN,genre_block.thisIndex,genre_block.ran
space,240.3114,5,8.9191,0,0,0,0,1,Wie sehr gefiel Ihnen die Interpretation insgesamt? ,4297,763917,2021-12-09_15h31.43.096,rep_pres_illusion,2021.2.3,Win32,61.06497313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,4.931,0,1,1,1,1,Wie sehr mochten Sie das Timing und den Rhythmus der Performance?,4297,763917,2021-12-09_15h31.43.096,rep_pres_illusion,2021.2.3,Win32,61.06497313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,5.409,0,2,2,2,1,Wie sehr gefiel Ihnen die Tonqualität der Performance? ,4297,763917,2021-12-09_15h31.43.096,rep_pres_illusion,2021.2.3,Win32,61.06497313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,7.1174,0,3,3,3,1,Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ,4297,763917,2021-12-09_15h31.43.096,rep_pres_illusion,2021.2.3,Win32,61.06497313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Bitte schreiben Sie alles auf, was Ihnen einfällt, um die Performance zu beschreiben. (Stimmung, Klang usw.)",4297,763917,2021-12-09_15h31.43.096,rep_pres_illusion,2021.2.3,Win32,61.06497313,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Bitte beschreiben Sie so ausführlich wie möglich, was Ihnen an der Performance gefallen hat oder was nicht.",4297,763917,2021-12-09_15h31.43.096,rep_pres_illusion,2021.2.3,Win32,61.06497313,Schöner Rhytmus,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,4297,763917,2021-12-09_15h31.43.096,rep_pres_illusion,2021.2.3,Win32,61.06497313,,,,,,,0,0,0,0,1,2,"Für diese Aufnahme sind keine Informationen verfügbar. 
Bitte warten. Die Aufnahme wird kurzzeitig abgespielt.",beatles.wav,baseline,rock,2,CMFSJBNR,,,,,,,,,,,,,,
space,21.9813,4,4.3196,0,0,0,0,1,Wie sehr gefiel Ihnen die Interpretation insgesamt? ,4297,763917,2021-12-09_15h31.43.096,rep_pres_illusion,2021.2.3,Win32,61.06497313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,3.1787,0,1,1,1,1,Wie sehr mochten Sie das Timing und den Rhythmus der Performance?,4297,763917,2021-12-09_15h31.43.096,rep_pres_illusion,2021.2.3,Win32,61.06497313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,6.945,0,2,2,2,1,Wie sehr gefiel Ihnen die Tonqualität der Performance? ,4297,763917,2021-12-09_15h31.43.096,rep_pres_illusion,2021.2.3,Win32,61.06497313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
