wm_load_key.keys,wm_recall_response.text,wm_practice_trials.thisRepN,wm_practice_trials.thisTrialN,wm_practice_trials.thisN,wm_practice_trials.thisIndex,wm_practice_trials.ran,participant,EXPRA code (only for EXPRA students),date,expName,psychopyVersion,OS,frameRate,wm_instruct_toggle.thisRepN,wm_instruct_toggle.thisTrialN,wm_instruct_toggle.thisN,wm_instruct_toggle.thisIndex,wm_instruct_toggle.ran,wm_load_toggle.thisRepN,wm_load_toggle.thisTrialN,wm_load_toggle.thisN,wm_load_toggle.thisIndex,wm_load_toggle.ran,play_exit.keys,play_exit.rt,ratings_slider.response,ratings_slider.rt,ratings_loop.thisRepN,ratings_loop.thisTrialN,ratings_loop.thisN,ratings_loop.thisIndex,ratings_loop.ran,questions,open_text_response.text,open_text_loop.thisRepN,open_text_loop.thisTrialN,open_text_loop.thisN,open_text_loop.thisIndex,open_text_loop.ran,confidence_resp.response,confidence_resp.rt,wm_recall_toggle.thisRepN,wm_recall_toggle.thisTrialN,wm_recall_toggle.thisN,wm_recall_toggle.thisIndex,wm_recall_toggle.ran,genre_trials.thisRepN,genre_trials.thisTrialN,genre_trials.thisN,genre_trials.thisIndex,genre_trials.ran,genre_trials.order,prime_text,auditory_stim,condition,genre,order,probe
,RCTJDLS,0,0,0,0,1,4924,XXXXX,2021-12-09_15h30.46.672,rep_pres_illusion,2021.2.3,Win32,60.0276127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,4924,XXXXX,2021-12-09_15h30.46.672,rep_pres_illusion,2021.2.3,Win32,60.0276127,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,4924,XXXXX,2021-12-09_15h30.46.672,rep_pres_illusion,2021.2.3,Win32,60.0276127,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,4924,XXXXX,2021-12-09_15h30.46.672,rep_pres_illusion,2021.2.3,Win32,60.0276127,,,,,,,,,,,space,5.7173,5,3.333,0,0,0,0,1,Wie sehr gefiel Ihnen die Interpretation insgesamt? ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,4924,XXXXX,2021-12-09_15h30.46.672,rep_pres_illusion,2021.2.3,Win32,60.0276127,,,,,,,,,,,,,6,1.5262,0,1,1,1,1,Wie sehr mochten Sie das Timing und den Rhythmus der Performance?,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,4924,XXXXX,2021-12-09_15h30.46.672,rep_pres_illusion,2021.2.3,Win32,60.0276127,,,,,,,,,,,,,7,1.3305,0,2,2,2,1,Wie sehr gefiel Ihnen die Tonqualität der Performance? ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,4924,XXXXX,2021-12-09_15h30.46.672,rep_pres_illusion,2021.2.3,Win32,60.0276127,,,,,,,,,,,,,7,0.882,0,3,3,3,1,Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,4924,XXXXX,2021-12-09_15h30.46.672,rep_pres_illusion,2021.2.3,Win32,60.0276127,,,,,,,,,,,,,,,,,,,,"Bitte schreiben Sie alles auf, was Ihnen einfällt, um die Performance zu beschreiben. (Stimmung, Klang usw.)",,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,4924,XXXXX,2021-12-09_15h30.46.672,rep_pres_illusion,2021.2.3,Win32,60.0276127,,,,,,,,,,,,,,,,,,,,"Bitte beschreiben Sie so ausführlich wie möglich, was Ihnen an der Performance gefallen hat oder was nicht.",,0,1,1,1,1,,,,,,,,,,,,,,,,,,,
,,,,,,,4924,XXXXX,2021-12-09_15h30.46.672,rep_pres_illusion,2021.2.3,Win32,60.0276127,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1.0082,0,0,0,0,1,,,,,,,,,,,,
,,,,,,,4924,XXXXX,2021-12-09_15h30.46.672,rep_pres_illusion,2021.2.3,Win32,60.0276127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,2,"Für diese Aufnahme sind keine Informationen verfügbar. 
Bitte warten. Die Aufnahme wird kurzzeitig abgespielt.",bruckner_excerpt.wav,baseline,classical,2,TBHNLXMZ
,,,,,,,4924,XXXXX,2021-12-09_15h30.46.672,rep_pres_illusion,2021.2.3,Win32,60.0276127,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
