sex_resp.response,age_resp.text,key_resp.keys,key_resp.rt,GSI_slider.response,GSI_slider.rt,GSI_question_loop.thisRepN,GSI_question_loop.thisTrialN,GSI_question_loop.thisN,GSI_question_loop.thisIndex,GSI_question_loop.ran,scale,questions_english,questions_german,labeller,labels_marks,participant,EXPRA code (only for EXPRA students),date,expName,psychopyVersion,OS,frameRate,play_exit.keys,play_exit.rt,ratings_slider.response,ratings_slider.rt,ratings_slider.history,ratings_loop.thisRepN,ratings_loop.thisTrialN,ratings_loop.thisN,ratings_loop.thisIndex,ratings_loop.ran,questions,open_text_response.text,open_text_loop.thisRepN,open_text_loop.thisTrialN,open_text_loop.thisN,open_text_loop.thisIndex,open_text_loop.ran,genre_trials.thisRepN,genre_trials.thisTrialN,genre_trials.thisN,genre_trials.thisIndex,genre_trials.ran,genre_trials.order,prime_text,auditory_stim,condition,genre,order,probe,eval_slider.response,eval_slider.rt,eval_key.keys,eval_key.rt,final_eval_loop.thisRepN,final_eval_loop.thisTrialN,final_eval_loop.thisN,final_eval_loop.thisIndex,final_eval_loop.ran,knew_slider.response,knew_slider.rt,knew_key.keys,knew_key.rt,genre_block.thisRepN,genre_block.thisTrialN,genre_block.thisN,genre_block.thisIndex,genre_block.ran
2,28,space,0.8044,4,2.7037,0,0,0,4,1,perceptual abilities,I find it difficult to spot mistakes in a performance of a song even if I know the tune,"Ich finde es schwierig Fehler festzustellen, die ein Sänger macht, selbst wenn ich das Lied kenne.","Stimme ganz und gar nicht zu, Stimme nicht zu, Stimme eher nicht zu, Weder noch, Stimme eher zu, Stimme zu, Stimme voll und ganz zu","""Stimme ganz und gar nicht zu"", ""Stimme nicht zu"",""Stimme eher nicht zu"",""Weder noch"",""Stimme eher zu"",""Stimme zu"",""Stimme voll und ganz zu""",001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5,0.7629,0,1,1,5,1,perceptual abilities,I have trouble recognizing a familiar song when played in a different way or by a different performer,"Es fällt mir schwer, ein bekanntes Lied zu erkennen, wenn es auf eine andere Weise oder von einem anderen Interpreten gespielt oder gesungen wird.","Stimme ganz und gar nicht zu, Stimme nicht zu, Stimme eher nicht zu, Weder noch, Stimme eher zu, Stimme zu, Stimme voll und ganz zu","""Stimme ganz und gar nicht zu"", ""Stimme nicht zu"",""Stimme eher nicht zu"",""Weder noch"",""Stimme eher zu"",""Stimme zu"",""Stimme voll und ganz zu""",001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6,0.6061,0,2,2,8,1,perceptual abilities,When I sing I have no idea whether I’m in tune or not,"Wenn ich singe, habe ich keine Ahnung, ob ich richtig oder falsch singe.","Stimme ganz und gar nicht zu, Stimme nicht zu, Stimme eher nicht zu, Weder noch, Stimme eher zu, Stimme zu, Stimme voll und ganz zu","""Stimme ganz und gar nicht zu"", ""Stimme nicht zu"",""Stimme eher nicht zu"",""Weder noch"",""Stimme eher zu"",""Stimme zu"",""Stimme voll und ganz zu""",001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,0.6535,0,3,3,11,1,musical training,I have never been complimented for my talents as a musical performer,Ich bin noch nie für meine musikalischen Fähigkeiten gelobt worden.,"Stimme ganz und gar nicht zu, Stimme nicht zu, Stimme eher nicht zu, Weder noch, Stimme eher zu, Stimme zu, Stimme voll und ganz zu","""Stimme ganz und gar nicht zu"", ""Stimme nicht zu"",""Stimme eher nicht zu"",""Weder noch"",""Stimme eher zu"",""Stimme zu"",""Stimme voll und ganz zu""",001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5,4.5572,0,4,4,12,1,musical training,"At the peak of my interest, I practised ___ hours on my primary instrument (including voice)",An dem Höhepunkt meines Interesses habe ich mein Hauptinstrument ___ Stunden pro Tag geübt.,"0, 0.5, 1, 1.5, 2, 3-4, 5 oder mehr","""0"",""0,5"",""1"",""1,5"",""2"",""3-4"",""5 oder mehr""",001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5,1.0818,0,5,5,0,1,perceptual abilities,I am able to judge whether someone is a good singer or not,"Ich kann beurteilen, ob jemand gut singt oder nicht.","Stimme ganz und gar nicht zu, Stimme nicht zu, Stimme eher nicht zu, Weder noch, Stimme eher zu, Stimme zu, Stimme voll und ganz zu","""Stimme ganz und gar nicht zu"", ""Stimme nicht zu"",""Stimme eher nicht zu"",""Weder noch"",""Stimme eher zu"",""Stimme zu"",""Stimme voll und ganz zu""",001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5,3.2108,0,6,6,13,1,musical training,I have had formal training in music theory for ___ years,Ich habe ___ Jahre Unterricht in Musiktheorie (außerhalb der Schule) erhalten.,"0, 0.5,  1, 2, 3, 4-6, 7 oder mehr","""0"",""0,5"", ""1"",""2"",""3"",""4-6"",""7 oder mehr""",001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5,0.99,0,7,7,2,1,perceptual abilities,I can tell when people sing or play out of time with the beat,"Ich kann beurteilen, ob jemand nicht im Rhythmus mit der Musik singt oder spielt.","Stimme ganz und gar nicht zu, Stimme nicht zu, Stimme eher nicht zu, Weder noch, Stimme eher zu, Stimme zu, Stimme voll und ganz zu","""Stimme ganz und gar nicht zu"", ""Stimme nicht zu"",""Stimme eher nicht zu"",""Weder noch"",""Stimme eher zu"",""Stimme zu"",""Stimme voll und ganz zu""",001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5,0.682,0,8,8,14,1,musical training,During my life time I have had formal training on a musical instrument (including voice) for ___ years,Ich habe ___ Jahre Musikunterricht auf einem Instrument (einschließlich Gesang) in meinem bisherigen Leben gehabt.,"0, 1, 2, 3, 4-5, 6-9, 10 oder mehr"," ""0"",""1"",""2"",""3"",""4-5"",""6-9"",""10 oder mehr""",001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5,0.3656,0,9,9,6,1,perceptual abilities,I usually know when I’m hearing a song for the first time,"Meistens weiß ich, ob ich ein Lied zum ersten Mal höre.","Stimme ganz und gar nicht zu, Stimme nicht zu, Stimme eher nicht zu, Weder noch, Stimme eher zu, Stimme zu, Stimme voll und ganz zu","""Stimme ganz und gar nicht zu"", ""Stimme nicht zu"",""Stimme eher nicht zu"",""Weder noch"",""Stimme eher zu"",""Stimme zu"",""Stimme voll und ganz zu""",001,XXXXX,2021-12-11_16h23.11.197,musical_judgments,2021.2.3,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
