sex_resp.response,age_resp.text,key_resp.keys,key_resp.rt,GSI_slider.response,GSI_slider.rt,GSI_question_loop.thisRepN,GSI_question_loop.thisTrialN,GSI_question_loop.thisN,GSI_question_loop.thisIndex,GSI_question_loop.ran,scale,questions_english,questions_german,labeller,labels_marks,participant,EXPRA code (only for EXPRA students),date,expName,psychopyVersion,OS,frameRate,wm_recall_response.text,wm_practice_2.thisRepN,wm_practice_2.thisTrialN,wm_practice_2.thisN,wm_practice_2.thisIndex,wm_practice_2.ran,wm_practice_1.thisRepN,wm_practice_1.thisTrialN,wm_practice_1.thisN,wm_practice_1.thisIndex,wm_practice_1.ran,wm_instruct_toggle.thisRepN,wm_instruct_toggle.thisTrialN,wm_instruct_toggle.thisN,wm_instruct_toggle.thisIndex,wm_instruct_toggle.ran,wm_load_key.keys,wm_load_key.rt,wm_load_toggle.thisRepN,wm_load_toggle.thisTrialN,wm_load_toggle.thisN,wm_load_toggle.thisIndex,wm_load_toggle.ran,play_exit.keys,play_exit.rt,ratings_slider.response,ratings_slider.rt,ratings_slider.history,ratings_loop.thisRepN,ratings_loop.thisTrialN,ratings_loop.thisN,ratings_loop.thisIndex,ratings_loop.ran,questions,open_text_response.text,open_text_loop.thisRepN,open_text_loop.thisTrialN,open_text_loop.thisN,open_text_loop.thisIndex,open_text_loop.ran,confidence_resp.response,confidence_resp.rt,confidence_resp.history,confidence_key.keys,confidence_key.rt,wm_recall_toggle.thisRepN,wm_recall_toggle.thisTrialN,wm_recall_toggle.thisN,wm_recall_toggle.thisIndex,wm_recall_toggle.ran,genre_trials.thisRepN,genre_trials.thisTrialN,genre_trials.thisN,genre_trials.thisIndex,genre_trials.ran,genre_trials.order,prime_text,auditory_stim,condition,genre,order,probe,eval_slider.response,eval_slider.rt,eval_key.keys,eval_key.rt,final_eval_loop.thisRepN,final_eval_loop.thisTrialN,final_eval_loop.thisN,final_eval_loop.thisIndex,final_eval_loop.ran,knew_slider.response,knew_slider.rt,knew_key.keys,knew_key.rt,genre_block.thisRepN,genre_block.thisTrialN,genre_block.thisN,genre_block.thisIndex,genre_block.ran
2,45,space,0.5692,4,0.7827,0,0,0,3,1,perceptual abilities,I can tell when people sing or play out of tune,"Ich kann beurteilen, ob jemand falsch oder richtig singt oder spielt.","Stimme ganz und gar nicht zu, Stimme nicht zu, Stimme eher nicht zu, Weder noch, Stimme eher zu, Stimme zu, Stimme voll und ganz zu","""Stimme ganz und gar nicht zu"", ""Stimme nicht zu"",""Stimme eher nicht zu"",""Weder noch"",""Stimme eher zu"",""Stimme zu"",""Stimme voll und ganz zu""",002,XXXXX,2021-12-11_16h25.59.317,musical_judgments,2021.2.3,Win32,60.17209218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4,0.414,0,1,1,12,1,musical training,"At the peak of my interest, I practised ___ hours on my primary instrument (including voice)",An dem Höhepunkt meines Interesses habe ich mein Hauptinstrument ___ Stunden pro Tag geübt.,"0, 0.5, 1, 1.5, 2, 3-4, 5 oder mehr","""0"",""0,5"",""1"",""1,5"",""2"",""3-4"",""5 oder mehr""",002,XXXXX,2021-12-11_16h25.59.317,musical_judgments,2021.2.3,Win32,60.17209218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4,0.2885,0,2,2,5,1,perceptual abilities,I have trouble recognizing a familiar song when played in a different way or by a different performer,"Es fällt mir schwer, ein bekanntes Lied zu erkennen, wenn es auf eine andere Weise oder von einem anderen Interpreten gespielt oder gesungen wird.","Stimme ganz und gar nicht zu, Stimme nicht zu, Stimme eher nicht zu, Weder noch, Stimme eher zu, Stimme zu, Stimme voll und ganz zu","""Stimme ganz und gar nicht zu"", ""Stimme nicht zu"",""Stimme eher nicht zu"",""Weder noch"",""Stimme eher zu"",""Stimme zu"",""Stimme voll und ganz zu""",002,XXXXX,2021-12-11_16h25.59.317,musical_judgments,2021.2.3,Win32,60.17209218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4,0.237,0,3,3,7,1,perceptual abilities,When I hear music I can usually identify its genre,"Wenn ich ein Musikstück höre, kann ich normalerweise die Stilrichtung erkennen.","Stimme ganz und gar nicht zu, Stimme nicht zu, Stimme eher nicht zu, Weder noch, Stimme eher zu, Stimme zu, Stimme voll und ganz zu","""Stimme ganz und gar nicht zu"", ""Stimme nicht zu"",""Stimme eher nicht zu"",""Weder noch"",""Stimme eher zu"",""Stimme zu"",""Stimme voll und ganz zu""",002,XXXXX,2021-12-11_16h25.59.317,musical_judgments,2021.2.3,Win32,60.17209218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4,0.265,0,4,4,6,1,perceptual abilities,I usually know when I’m hearing a song for the first time,"Meistens weiß ich, ob ich ein Lied zum ersten Mal höre.","Stimme ganz und gar nicht zu, Stimme nicht zu, Stimme eher nicht zu, Weder noch, Stimme eher zu, Stimme zu, Stimme voll und ganz zu","""Stimme ganz und gar nicht zu"", ""Stimme nicht zu"",""Stimme eher nicht zu"",""Weder noch"",""Stimme eher zu"",""Stimme zu"",""Stimme voll und ganz zu""",002,XXXXX,2021-12-11_16h25.59.317,musical_judgments,2021.2.3,Win32,60.17209218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4,0.2845,0,5,5,11,1,musical training,I have never been complimented for my talents as a musical performer,Ich bin noch nie für meine musikalischen Fähigkeiten gelobt worden.,"Stimme ganz und gar nicht zu, Stimme nicht zu, Stimme eher nicht zu, Weder noch, Stimme eher zu, Stimme zu, Stimme voll und ganz zu","""Stimme ganz und gar nicht zu"", ""Stimme nicht zu"",""Stimme eher nicht zu"",""Weder noch"",""Stimme eher zu"",""Stimme zu"",""Stimme voll und ganz zu""",002,XXXXX,2021-12-11_16h25.59.317,musical_judgments,2021.2.3,Win32,60.17209218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4,0.2739,0,6,6,10,1,musical training,I can play the following number of musical instruments (including voice),Ich kann ___ verschiedene Instrumente  (einschließlich Gesang) spielen.,"0, 1, 2, 3, 4, 5, 6 oder mehr","""0"",""1"",""2"",""3"",""4"",""5"",""6 oder mehr""",002,XXXXX,2021-12-11_16h25.59.317,musical_judgments,2021.2.3,Win32,60.17209218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4,0.3672,0,7,7,8,1,perceptual abilities,When I sing I have no idea whether I’m in tune or not,"Wenn ich singe, habe ich keine Ahnung, ob ich richtig oder falsch singe.","Stimme ganz und gar nicht zu, Stimme nicht zu, Stimme eher nicht zu, Weder noch, Stimme eher zu, Stimme zu, Stimme voll und ganz zu","""Stimme ganz und gar nicht zu"", ""Stimme nicht zu"",""Stimme eher nicht zu"",""Weder noch"",""Stimme eher zu"",""Stimme zu"",""Stimme voll und ganz zu""",002,XXXXX,2021-12-11_16h25.59.317,musical_judgments,2021.2.3,Win32,60.17209218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4,1.3467,0,8,8,9,1,musical training,"I engaged in regular, daily practice of a musical instrument (including voice) for ___ years",Ich habe regelmäßig und täglich ein Instrument (einschließlich Gesang) für ___ Jahre geübt.,"0, 1, 2, 3, 4-5, 6-9, 10 oder mehr"," ""0"",""1"",""2"",""3"",""4-5"",""6-9"",""10 oder mehr""",002,XXXXX,2021-12-11_16h25.59.317,musical_judgments,2021.2.3,Win32,60.17209218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4,0.504,0,9,9,13,1,musical training,I have had formal training in music theory for ___ years,Ich habe ___ Jahre Unterricht in Musiktheorie (außerhalb der Schule) erhalten.,"0, 0.5,  1, 2, 3, 4-6, 7 oder mehr","""0"",""0,5"", ""1"",""2"",""3"",""4-6"",""7 oder mehr""",002,XXXXX,2021-12-11_16h25.59.317,musical_judgments,2021.2.3,Win32,60.17209218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
