"rown","ID","condition","genre","prime_order","probe","wm","wm_response","confidence","question_n","question","rating","mean_rating","open_text","final_eval","knew_piece","EXPRA","sex","age","exp_inf","rep_exp"
1,"128","baseline","rock",1,"RCYMGWBS","1","RCYWGBMS",4,"Interpretation","Wie sehr gefiel Ihnen die Interpretation insgesamt? ","7","6","",NA,7,"XXXXX",1,28,"2","0"
2,"128","baseline","rock",1,"RCYMGWBS","1","RCYWGBMS",4,"Timing/Rhythm","Wie sehr mochten Sie das Timing und den Rhythmus der Performance?","6","6","",NA,7,"XXXXX",1,28,"2","0"
3,"128","baseline","rock",1,"RCYMGWBS","1","RCYWGBMS",4,"Tone Quality","Wie sehr gefiel Ihnen die Tonqualität der Performance? ","6","6","",NA,7,"XXXXX",1,28,"2","0"
4,"128","baseline","rock",1,"RCYMGWBS","1","RCYWGBMS",4,"Expressiveness","Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ","6","6","",NA,7,"XXXXX",1,28,"2","0"
7,"128","high","rock",1,"GDRXBZYH","1","GDRZHYB",3,"Interpretation","Wie sehr gefiel Ihnen die Interpretation insgesamt? ","7","6","",NA,7,"XXXXX",1,28,"1","1"
8,"128","high","rock",1,"GDRXBZYH","1","GDRZHYB",3,"Timing/Rhythm","Wie sehr mochten Sie das Timing und den Rhythmus der Performance?","6","6","",NA,7,"XXXXX",1,28,"1","1"
9,"128","high","rock",1,"GDRXBZYH","1","GDRZHYB",3,"Tone Quality","Wie sehr gefiel Ihnen die Tonqualität der Performance? ","6","6","",NA,7,"XXXXX",1,28,"1","1"
10,"128","high","rock",1,"GDRXBZYH","1","GDRZHYB",3,"Expressiveness","Wie gut gefiel Ihnen die Ausdrucksstärke der Interpretation? ","6","6","",NA,7,"XXXXX",1,28,"1","1"
13,"128","low","rock",1,"QNVFYBLT","1","QNVFYBLT",5,"Interpretation","Wie sehr gefiel Ihnen die Interpretation insgesamt? ","7","6","",NA,7,"XXXXX",1,28,"0","2"
14,"128","low","rock",1,"QNVFYBLT","1","QNVFYBLT",5,"Timing/Rhythm","Wie sehr mochten Sie das Timing und den Rhythmus der Performance?","6","6","",NA,7,"XXXXX",1,28,"0","2"
15,"128","low","rock",1,"QNVFYBLT","1","QNVFYBLT",5,"Tone Quality","Wie sehr gefiel Ihnen die Tonqualität der Performance? ","6","6","",NA,7,"XXXXX",1,28,"0","2"
